feature,importance
contract_length,1.4983788715325954
monthly_charges,0.8704897903191202
tenure_contract_interaction,0.7444843895858969
tenure_years,0.5049172604044646
tenure_months,0.5049172604044535
has_internet,0.42341091731286884
internet_fiber,0.37946862063810755
risk_fiber,0.37946862063810755
streaming_movies_flag,0.35372586697003033
avg_monthly_spend,0.2885224399451082
streaming_tv_flag,0.2510265338268973
has_streaming_bundle,0.2430274047424597
is_high_value,0.2295571884464651
paperless_billing_flag,0.20818448039907392
has_support_bundle,0.19637833537135926
tech_support_flag,0.1828419508737531
online_security_flag,0.17570293806865742
risk_no_support,0.16527515420733258
risk_mtm,0.15914539987187812
is_month_to_month,0.15914539987187812
has_long_contract,0.15914539987187745
multiple_lines_flag,0.1391773930790084
risk_factors_count,0.12844633683816697
online_backup_flag,0.12363802642686596
is_loyal,0.12029766654017324
senior_mtm,0.11961208610857796
service_diversity,0.11519175158334914
total_services,0.11519175158334843
total_charges,0.11051584116219008
has_dependents,0.10766208499657834
has_security_bundle,0.10586206373012756
tenure_quartile,0.10099573581688671
is_senior,0.09701400839692977
has_partner,0.08203442753079704
risk_new,0.08153670294924252
is_new_customer,0.08153670294924252
is_established,0.07665509966889736
tenure_bucket,0.07276294924840197
has_family,0.07062215637774831
monthly_charge_quartile,0.058785159489500145
charge_per_service,0.05824389105048539
fiber_no_support,0.05571304276544495
high_risk_flag,0.05405893946734649
risk_high_charge,0.0530750858732771
mtm_high_value,0.049463825263777295
device_protection_flag,0.04774623715582688
internet_dsl,0.04409946503267594
risk_score,0.038347136971519744
spending_trend,0.03281004026952446
risk_echeck,0.0310239375964435
payment_electronic_check,0.031023937596320324
estimated_clv,0.01682098677916987
payment_mailed_check,0.015972293556167833
premium_service_count,0.015552388811180986
payment_bank_transfer,0.014429659595556865
phone_service_flag,0.013765897565360357
gender_male,0.012802926454166268
has_auto_payment,0.010856353843425433
payment_credit_card,0.0038481526667534355
new_high_value,0.0034475854401042763
senior_alone,0.001002788206030389
